ID,year,city_ID,city_FAA,aveTemp,LAT,LONG,ELEV,City
1,1960,1,ABQ,57.025,35.0419,-106.6155,1618.5,Albuquerque
2,1961,1,ABQ,55.50833333,35.0419,-106.6155,1618.5,Albuquerque
3,1962,1,ABQ,56.25,35.0419,-106.6155,1618.5,Albuquerque
4,1963,1,ABQ,57.23333333,35.0419,-106.6155,1618.5,Albuquerque
5,1964,1,ABQ,54.53333333,35.0419,-106.6155,1618.5,Albuquerque
6,1965,1,ABQ,55.85833333,35.0419,-106.6155,1618.5,Albuquerque
7,1966,1,ABQ,55.40833333,35.0419,-106.6155,1618.5,Albuquerque
8,1967,1,ABQ,56.44166667,35.0419,-106.6155,1618.5,Albuquerque
9,1968,1,ABQ,55.46666667,35.0419,-106.6155,1618.5,Albuquerque
10,1969,1,ABQ,56.5,35.0419,-106.6155,1618.5,Albuquerque
11,1970,1,ABQ,55.91666667,35.0419,-106.6155,1618.5,Albuquerque
12,1971,1,ABQ,54.875,35.0419,-106.6155,1618.5,Albuquerque
13,1972,1,ABQ,56.675,35.0419,-106.6155,1618.5,Albuquerque
14,1973,1,ABQ,54.80833333,35.0419,-106.6155,1618.5,Albuquerque
15,1974,1,ABQ,56.64166667,35.0419,-106.6155,1618.5,Albuquerque
16,1975,1,ABQ,54.28333333,35.0419,-106.6155,1618.5,Albuquerque
17,1976,1,ABQ,54.85,35.0419,-106.6155,1618.5,Albuquerque
18,1977,1,ABQ,56.725,35.0419,-106.6155,1618.5,Albuquerque
19,1978,1,ABQ,57.325,35.0419,-106.6155,1618.5,Albuquerque
20,1979,1,ABQ,57.175,35.0419,-106.6155,1618.5,Albuquerque
21,1980,1,ABQ,57.44166667,35.0419,-106.6155,1618.5,Albuquerque
22,1981,1,ABQ,58.04166667,35.0419,-106.6155,1618.5,Albuquerque
23,1982,1,ABQ,56.2,35.0419,-106.6155,1618.5,Albuquerque
24,1983,1,ABQ,56.75,35.0419,-106.6155,1618.5,Albuquerque
25,1984,1,ABQ,55.95,35.0419,-106.6155,1618.5,Albuquerque
26,1985,1,ABQ,56.23333333,35.0419,-106.6155,1618.5,Albuquerque
27,1986,1,ABQ,56.51666667,35.0419,-106.6155,1618.5,Albuquerque
28,1987,1,ABQ,55.7,35.0419,-106.6155,1618.5,Albuquerque
29,1988,1,ABQ,56.56666667,35.0419,-106.6155,1618.5,Albuquerque
30,1989,1,ABQ,58,35.0419,-106.6155,1618.5,Albuquerque
31,1990,1,ABQ,56.50833333,35.0419,-106.6155,1618.5,Albuquerque
32,1991,1,ABQ,56.79166667,35.0419,-106.6155,1618.5,Albuquerque
33,1992,1,ABQ,56.28333333,35.0419,-106.6155,1618.5,Albuquerque
34,1993,1,ABQ,57.48333333,35.0419,-106.6155,1618.5,Albuquerque
35,1994,1,ABQ,59.025,35.0419,-106.6155,1618.5,Albuquerque
36,1995,1,ABQ,59.39166667,35.0419,-106.6155,1618.5,Albuquerque
37,1996,1,ABQ,58.275,35.0419,-106.6155,1618.5,Albuquerque
38,1997,1,ABQ,56.275,35.0419,-106.6155,1618.5,Albuquerque
39,1998,1,ABQ,57.25,35.0419,-106.6155,1618.5,Albuquerque
40,1999,1,ABQ,57.39166667,35.0419,-106.6155,1618.5,Albuquerque
41,2000,1,ABQ,58.44166667,35.0419,-106.6155,1618.5,Albuquerque
42,2001,1,ABQ,58.40833333,35.0419,-106.6155,1618.5,Albuquerque
43,2002,1,ABQ,58.06666667,35.0419,-106.6155,1618.5,Albuquerque
44,2003,1,ABQ,59.10833333,35.0419,-106.6155,1618.5,Albuquerque
45,2004,1,ABQ,57.19166667,35.0419,-106.6155,1618.5,Albuquerque
46,2005,1,ABQ,58.525,35.0419,-106.6155,1618.5,Albuquerque
47,2006,1,ABQ,57.95833333,35.0419,-106.6155,1618.5,Albuquerque
48,2007,1,ABQ,57.93333333,35.0419,-106.6155,1618.5,Albuquerque
49,2008,1,ABQ,57.33333333,35.0419,-106.6155,1618.5,Albuquerque
50,2009,1,ABQ,58.01666667,35.0419,-106.6155,1618.5,Albuquerque
51,2010,1,ABQ,58.24166667,35.0419,-106.6155,1618.5,Albuquerque
52,2011,1,ABQ,58.25833333,35.0419,-106.6155,1618.5,Albuquerque
53,2012,1,ABQ,59.84166667,35.0419,-106.6155,1618.5,Albuquerque
54,2013,1,ABQ,57.475,35.0419,-106.6155,1618.5,Albuquerque
55,2014,1,ABQ,58.625,35.0419,-106.6155,1618.5,Albuquerque
56,2015,1,ABQ,58.575,35.0419,-106.6155,1618.5,Albuquerque
57,2016,1,ABQ,59.15833333,35.0419,-106.6155,1618.5,Albuquerque
58,2017,1,ABQ,60.06666667,35.0419,-106.6155,1618.5,Albuquerque
59,2018,1,ABQ,59.075,35.0419,-106.6155,1618.5,Albuquerque
60,2019,1,ABQ,57.475,35.0419,-106.6155,1618.5,Albuquerque
61,2020,1,ABQ,59.19166667,35.0419,-106.6155,1618.5,Albuquerque
62,1960,2,ATL,60.90833333,33.6301,-84.4418,307.8,Atlanta
63,1961,2,ATL,60.14166667,33.6301,-84.4418,307.8,Atlanta
64,1962,2,ATL,60.25833333,33.6301,-84.4418,307.8,Atlanta
65,1963,2,ATL,59.56666667,33.6301,-84.4418,307.8,Atlanta
66,1964,2,ATL,60.425,33.6301,-84.4418,307.8,Atlanta
67,1965,2,ATL,60.675,33.6301,-84.4418,307.8,Atlanta
68,1966,2,ATL,59.19166667,33.6301,-84.4418,307.8,Atlanta
69,1967,2,ATL,59.675,33.6301,-84.4418,307.8,Atlanta
70,1968,2,ATL,59.46666667,33.6301,-84.4418,307.8,Atlanta
71,1969,2,ATL,60.08333333,33.6301,-84.4418,307.8,Atlanta
72,1970,2,ATL,61.53333333,33.6301,-84.4418,307.8,Atlanta
73,1971,2,ATL,61.31666667,33.6301,-84.4418,307.8,Atlanta
74,1972,2,ATL,60.78333333,33.6301,-84.4418,307.8,Atlanta
75,1973,2,ATL,61.29166667,33.6301,-84.4418,307.8,Atlanta
76,1974,2,ATL,62,33.6301,-84.4418,307.8,Atlanta
77,1975,2,ATL,61.31666667,33.6301,-84.4418,307.8,Atlanta
78,1976,2,ATL,59.125,33.6301,-84.4418,307.8,Atlanta
79,1977,2,ATL,60.25,33.6301,-84.4418,307.8,Atlanta
80,1978,2,ATL,60.825,33.6301,-84.4418,307.8,Atlanta
81,1979,2,ATL,61.55,33.6301,-84.4418,307.8,Atlanta
82,1980,2,ATL,63.18333333,33.6301,-84.4418,307.8,Atlanta
83,1981,2,ATL,61.70833333,33.6301,-84.4418,307.8,Atlanta
84,1982,2,ATL,61.89166667,33.6301,-84.4418,307.8,Atlanta
85,1983,2,ATL,60.1,33.6301,-84.4418,307.8,Atlanta
86,1984,2,ATL,61.85,33.6301,-84.4418,307.8,Atlanta
87,1985,2,ATL,62.20833333,33.6301,-84.4418,307.8,Atlanta
88,1986,2,ATL,63.69166667,33.6301,-84.4418,307.8,Atlanta
89,1987,2,ATL,62.775,33.6301,-84.4418,307.8,Atlanta
90,1988,2,ATL,62.21666667,33.6301,-84.4418,307.8,Atlanta
91,1989,2,ATL,62.66666667,33.6301,-84.4418,307.8,Atlanta
92,1990,2,ATL,64.925,33.6301,-84.4418,307.8,Atlanta
93,1991,2,ATL,63.70833333,33.6301,-84.4418,307.8,Atlanta
94,1992,2,ATL,61.88333333,33.6301,-84.4418,307.8,Atlanta
95,1993,2,ATL,63.325,33.6301,-84.4418,307.8,Atlanta
96,1994,2,ATL,64.16666667,33.6301,-84.4418,307.8,Atlanta
97,1995,2,ATL,63.1,33.6301,-84.4418,307.8,Atlanta
98,1996,2,ATL,62.7,33.6301,-84.4418,307.8,Atlanta
99,1997,2,ATL,61.13333333,33.6301,-84.4418,307.8,Atlanta
100,1998,2,ATL,63.36666667,33.6301,-84.4418,307.8,Atlanta
101,1999,2,ATL,63.10833333,33.6301,-84.4418,307.8,Atlanta
102,2000,2,ATL,62.075,33.6301,-84.4418,307.8,Atlanta
